total_utilization,avg_reward
0.2424,1.25
0.26,1.55
0.2594666666666667,1.38
0.2650666666666667,1.52
0.256,1.47
0.242,1.24
0.2556,1.38
0.25893333333333335,1.47
0.264,1.58
0.2577333333333333,1.38
0.25253333333333333,1.34
0.2528,1.49
0.2502666666666667,1.31
0.2554666666666667,1.43
0.26,1.41
0.26213333333333333,1.4
0.25093333333333334,1.51
0.2584,1.5
0.2618666666666667,1.46
0.2713333333333333,1.62
0.25906666666666667,1.5
0.27,1.67
0.25453333333333333,1.44
0.2644,1.52
0.25666666666666665,1.55
0.2677333333333333,1.66
0.2656,1.56
0.25466666666666665,1.39
0.2556,1.37
0.26426666666666665,1.59
0.26,1.55
0.26613333333333333,1.68
0.25653333333333334,1.42
0.2628,1.56
0.2598666666666667,1.55
0.27093333333333336,1.55
0.26893333333333336,1.56
0.27213333333333334,1.63
0.2592,1.59
0.2684,1.6
0.25893333333333335,1.56
0.2592,1.49
0.2694666666666667,1.74
0.2592,1.54
0.2636,1.5
0.2592,1.68
0.26213333333333333,1.61
0.2677333333333333,1.62
0.2644,1.6
0.2684,1.57
0.2512,1.51
0.2672,1.59
0.2648,1.64
0.27213333333333334,1.55
0.26466666666666666,1.53
0.26426666666666665,1.53
0.26986666666666664,1.61
0.2714666666666667,1.63
0.2684,1.7
0.2616,1.56
0.26826666666666665,1.61
0.26226666666666665,1.66
0.2688,1.64
0.27226666666666666,1.74
0.27186666666666665,1.67
0.2717333333333333,1.8
0.27586666666666665,1.72
0.2708,1.59
0.26493333333333335,1.63
0.26853333333333335,1.69
0.27053333333333335,1.75
0.2710666666666667,1.59
0.27,1.67
0.2601333333333333,1.6
0.27186666666666665,1.63
0.274,1.73
0.2769333333333333,1.61
0.2657333333333333,1.53
0.2733333333333333,1.68
0.2790666666666667,1.7
0.274,1.74
0.2693333333333333,1.58
0.26626666666666665,1.6
0.2634666666666667,1.65
0.266,1.62
0.2708,1.62
0.2754666666666667,1.6
0.2764,1.75
0.27026666666666666,1.7
0.2616,1.65
0.2536,1.56
0.27253333333333335,1.61
0.26613333333333333,1.6
0.2768,1.7
0.2697333333333333,1.64
0.26493333333333335,1.49
0.27453333333333335,1.67
0.26693333333333336,1.69
0.2716,1.85
0.2724,1.63
0.27013333333333334,1.61
0.2734666666666667,1.7
0.2712,1.71
0.2696,1.63
0.2654666666666667,1.57
0.27013333333333334,1.55
0.27,1.62
0.2773333333333333,1.63
0.2769333333333333,1.76
0.26413333333333333,1.68
0.26813333333333333,1.69
0.27613333333333334,1.74
0.27466666666666667,1.66
0.2754666666666667,1.63
0.2708,1.73
0.26426666666666665,1.68
0.2664,1.55
0.26213333333333333,1.56
0.2716,1.54
0.27626666666666666,1.67
0.2733333333333333,1.76
0.268,1.64
0.2694666666666667,1.6
0.2717333333333333,1.66
0.26826666666666665,1.69
0.26786666666666664,1.63
0.282,1.78
0.27186666666666665,1.65
0.2696,1.7
0.2710666666666667,1.62
0.2750666666666667,1.68
0.27026666666666666,1.69
0.27253333333333335,1.62
0.27053333333333335,1.72
0.2748,1.69
0.27773333333333333,1.75
0.26,1.49
0.26853333333333335,1.67
0.2690666666666667,1.66
0.28013333333333335,1.58
0.2673333333333333,1.67
0.26866666666666666,1.72
0.2770666666666667,1.66
